"ID","Adj","Condition","Condition2","IDMean"
"57-mean-CxC","mean","CxC","Cx",4.7
"57-mean-CxD","mean","CxD","Cx",1.1
"58-mean-CnC","mean","CnC","Cn",6.66666666666667
"58-mean-CnD","mean","CnD","Cn",1.08333333333333
"58-mean-CxC","mean","CxC","Cx",5.22222222222222
"58-mean-CxD","mean","CxD","Cx",2.33333333333333
"59-mean-CnC","mean","CnC","Cn",6.5
"59-mean-CnD","mean","CnD","Cn",1
"59-mean-CxC","mean","CxC","Cx",6
"59-mean-CxD","mean","CxD","Cx",2.625
"6-smart-CnC","smart","CnC","Cn",6.8
"6-smart-CnD","smart","CnD","Cn",1.375
"6-smart-CxC","smart","CxC","Cx",6.71428571428571
"6-smart-CxD","smart","CxD","Cx",2.88888888888889
"60-mean-CnC","mean","CnC","Cn",6.45454545454545
"60-mean-CnD","mean","CnD","Cn",1
"60-mean-CxC","mean","CxC","Cx",6.55555555555556
"60-mean-CxD","mean","CxD","Cx",6.08333333333333
"7-stupid-CnC","stupid","CnC","Cn",6.28571428571429
"7-stupid-CnD","stupid","CnD","Cn",1.44444444444444
"7-stupid-CxC","stupid","CxC","Cx",6.66666666666667
"7-stupid-CxD","stupid","CxD","Cx",2.07692307692308
"8-stupid-CnC","stupid","CnC","Cn",6.88888888888889
"8-stupid-CnD","stupid","CnD","Cn",1.27272727272727
"8-stupid-CxC","stupid","CxC","Cx",5.125
"8-stupid-CxD","stupid","CxD","Cx",1.2
"9-stupid-CnC","stupid","CnC","Cn",6.11111111111111
"9-stupid-CnD","stupid","CnD","Cn",1
"9-stupid-CxC","stupid","CxC","Cx",6.625
"9-stupid-CxD","stupid","CxD","Cx",1.1
